ocid,buyer_name,buyer_id,title,desc,supplier,value,currency,date,detected_provider
ocds-hu01ve-8229435,ISPETTORATO TERRITORIALE DEL LAVORO DI TERNI-RIETI ITL TERNI - RIETI,97900660586,,"ESTENSIONE TEMPORALE DI 12 MESI, FINO AL 20 LUGLIO 2022, DEI SERVIZI DI CUI AL CONTRATTO ESECUTIVO N. 1997900660586001COE DEL 4 GIUGNO 2019 - CIG DERIVATO 7922771D72 - STIPULATO TRA LA SOCIETÀ TELECOM",POSTEL SPA|TELECOM ITALIA SPA|POSTE ITALIANE SPA|ENTERPRISE SERVICES ITALIA SRL,514773.37,EUR,2024-02-10 17:26:55.789T12:00:00Z,tim
ocds-hu01ve-8229551,AIMAG S.P.A.,00664670361,,SOTTOSCRIZIONE SERVIZI SALESFORCE PER SISTEMA CRM AZIENDALE 5 ANNI,,0.0,EUR,2024-02-10 17:27:01.441T12:00:00Z,salesforce
ocds-hu01ve-8229661,AZIENDA REGIONALE PER L EMERGENZA SANITARIA ARES 118,08173691000,,"SERVIZI DI CLOUD COMPUTING, CONSERVAZIONE SOSTITUTIVA E CLOUD ENABLING (FLAGMII)",TELECOM ITALIA SPA,195051.32,EUR,2024-02-06 17:27:02.723T12:00:00Z,cloud_generic
ocds-hu01ve-8229711,COMUNE DI GIUGLIANO IN CAMPANIA,80049220637,,AFFIDAMENTO DEL SERVIZIO IN CLOUD COMPUTING PER LE P.A.,,0.0,EUR,2024-02-09 17:41:55.582T12:00:00Z,cloud_generic
ocds-hu01ve-8230785,AZIENDA SANITARIA LOCALE CITTA' DI TORINO,11632570013,,ADESIONE ALLA CONVENZIONE CONSIP TELEFONIA MOBILE 8 MEDIANTE AFFIDAMENTO A TELECOM ITALIA S.P.A. - CIG DEL CONTRATTO QUADRO CONSIP 782331756BADESIONE E AUTORIZZAZIONE A CONTRARRE ,,0.0,EUR,2024-02-09 17:39:53.501T12:00:00Z,tim
ocds-hu01ve-8231593,AUTORITA' DI SISTEMA PORTUALE DEL MAR LIGURE OCCIDENTALE,02443880998,,ADESIONE CONSIP MICROSOFT ENTERPRISE AGREEMENT 6,TELECOM ITALIA S.P.A.,200000.0,EUR,2024-04-21 16:30:00.455T12:00:00Z,microsoft
ocds-hu01ve-8233094,SOGEI SPA,02327910580,,SERVIZIO DI PROGETTAZIONE APPLICATIVA DELLA SOLUZIONE ORACLE ERPM CLOUD ,POSTE ITALIANE SPA|ENTERPRISE SERVICES ITALIA SRL|TELECOM ITALIA SPA|POSTEL SPA,1983644.0,EUR,2024-02-09 17:40:44.694T12:00:00Z,oracle
ocds-hu01ve-8234680,AIMAG S.P.A.,00664670361,,CLOUD SERVICE SAP PER IMPLEMENTAZIONE ERP GRUPPO AIMAG,SAP ITALIA SPA,732648.0,EUR,2024-02-09 17:39:36.352T12:00:00Z,sap
ocds-hu01ve-8235051,FERROVIE DEL SUD EST E SERVIZI AUTOMOBILISTICI S.R.L.,05541630728,,PROCEDURA NEGOZIATA SENZA INDIZIONE DI GARA N. ACQ.015.2021 PER L'AFFIDAMENTO DELLA FORNITURA DI RICAMBI E COMPONENTI AGGIUNTIVI PER L'INSTALLAZIONE DEL SISTEMA DI BORDO ALMAVIVA.,ALMAVIVA - THE ITALIAN INNOVATION COMPANY S.P.A. ,71370.09,EUR,2024-02-09 17:39:36.061T12:00:00Z,almaviva
ocds-hu01ve-8235244,S.M.A. SISTEMI PER LA METEOROLOGIA E L'AMBIENTE CAMPANIA S.P.A. IN SIGLA S.M.A. CAMPANIA S.P.A.,07788680630,,"SERVIZI DI CLOUD COMPUTING, DI SICUREZZA, DI REALIZZAZIONE DI PORTALI E SERVIZI ON-LINE E DI COOPERAZIONE APPLICATIVA PER LE PUBBLICHE AMMINISTRAZIONI (LOTTO 1) - ADESIONE AL CONTRATTO QUADRO CONSIP -",,0.0,EUR,2024-02-09 17:40:05.015T12:00:00Z,cloud_generic
