ocid,buyer_name,buyer_id,title,desc,supplier,value,currency,date,detected_provider
ocds-hu01ve-7812476,TRENORD S.R.L.,06705490966,,CAMPAGNA PUBBLICITARIA MALPENSA SU GOOGLE - 2020,GOOGLE,300000.0,EUR,2023-02-17 13:40:48.161T12:00:00Z,google
ocds-hu01ve-7812751,AMIU GENOVA SPA,03818890109,,"(08/2020) AFFIDAMENTO DIRETTO EX ART. 36, COMMA 2, LETTERA B) DEL D.LGS. 50/2016 PER LA SCELTA DEL CONTRAENTE CUI AFFIDARE I LAVORI RELATIVI AGLI INTERVENTI INTEGRATIVI A SUPPORTO DEI CANTIERI NELL'AM",BREDIL SRL,48504.39,EUR,2023-01-10 02:54:57.356T12:00:00Z,aws
ocds-hu01ve-7813667,FONDAZIONE CIMA,92085010095,,FORNITURA DI SERVIZI CLOUD DI AMAZON WEB SERVICES (AWS) PER DATA BASE STORAGE SCALABILITÀ E ACCESSO APP E SITO WEB IT ALERT,WEB SITE,150000.0,EUR,2023-01-22 00:38:35.583T12:00:00Z,aws
ocds-hu01ve-7820399,AZIENDA USL TOSCANA NORD OVEST,02198590503,,RTI WEBKORNER E TIM - MANUTENZIONI HPE COMPRENSIVE DI RETURNO TO SUPPORT + SERVIZI PROFESSIONALI - RIF. DET. 447 DEL 27/03/2020 - VALIDITÀ 01/07/2020-30/06/2023 (RIF. CECILIA CAVALLINI),WEBKORNER SRL|TELECOM ITALIA SPA,2067000.0,EUR,2023-04-13 10:07:44.551T12:00:00Z,tim
ocds-hu01ve-7821766,AZIENDA USL DI BOLOGNA,02406911202,,ADESIONE CONVENZIONE INTERCENT MANUTENZIONE SW DITTA ENGINEERING ING INF - AUSLBO,ENGINEERING INGEGNERIA INFORMATICA S.P.A.,3056932.0,EUR,2023-02-18 15:33:32.713T12:00:00Z,engineering
ocds-hu01ve-7822112,AUSL DI IMOLA,90000900374,,MANUT SW ADESIONE CONV INTERCENTER DITTA ENGINEERING INF SPA,ENGINEERING INGEGNERIA INFORMATICA S.P.A.,114255.0,EUR,2023-04-27 09:38:40.595T12:00:00Z,engineering
ocds-hu01ve-7822662,REGIONE VENETO,80007580279,,"ACQUISIZIONE MEDIANTE RICHIESTA DI OFFERTA (RDO) SUL MERCATO ELETTRONICO DELLA PUBBLICA AMMINISTRAZIONE (MEPA) EX ART. 36, CO. 2, LETT. B), DEL D.LGS N. 50/2016 E SS.MM.II. DEL SERVIZIO DI MANUTENZION",,0.0,EUR,2023-02-22 13:17:54.320T12:00:00Z,sap
ocds-hu01ve-7825246,INSIEL SPA,00118410323,,ID 2953_RILIEVO AMIANTO COMUNE DI PRADAMANO E RILIEVO DI GCP. ,COMPAGNIA GENERALE RIPRESEAEREE - S.P.A.|DIGITAL RILIEVI S.R.L.|HELICA S.R.L.,51455.2,EUR,2023-04-04 21:53:18.363T12:00:00Z,google
ocds-hu01ve-7827803,ESTAR (ENTE DI SUPPORTO TECNICO AMMINISTRATIVO REGIONALE),06485540485,,ENGINEERING - PROGETTAZIONE E SVILUPPO DEL SISTEMA DI GESTIONE DEL PROCESSO PRESCRIZIONE-EROGAIZIONE DI PRESTAZIONI SANITARIE NELL'AMBITO DEL SISTEMA INFORMATIVO SANITARIO TOSCANO (PROGETTO CONTIKI). ,ENGINEERING INGNEGNERIA INFORMATICA SPA,104760.0,EUR,2023-04-19 07:57:44.926T12:00:00Z,engineering
ocds-hu01ve-7828551,AZIENDA SOCIO SANITARIA TERRITORIALE DI MANTOVA,02481840201,,"CONVENZIONE CONSIP - MICROSOFT ENTERPRISE AGREEMENT 5 - LICENZE OFFICE 365 E1, EXCHANGE ONLINE PIANO 1, WINDOWS SERVER E SQL SERVER",TIM SPA,296230.0,EUR,2023-02-24 12:08:59.452T12:00:00Z,microsoft
