ocid,buyer_name,buyer_id,title,desc,supplier,value,currency,date,detected_provider
ocds-hu01ve-8557546,COMUNE DI GENOVA,00856930102,,RISOLUZIONE INTERFERENZE CONNESSE ALLE OPERE DI PROLUNGAMENTO DELLA METROPOLITANA DA STAZIONE BRIN A VIA CANEPARI. AFFIDAMENTO DIRETTO A TIM TELECOM ITALIA S.P.A. - AI SENSI DELL'ART. 1 COMMA 2 LETT. ,TELECOM ITALIA S.P.A.,141550.24,EUR,2025-03-24 17:30:33.330T12:00:00Z,tim
ocds-hu01ve-8573439,HERA SPA,04245520376,,MICROSOFT PREMIER STANDARD,MICROSOFT S.R.L.,199800.0,EUR,2025-01-03 17:30:54.729T12:00:00Z,microsoft
ocds-hu01ve-8580746,INFORMATICA ALTO ADIGE SPA,01468500218,,ACQUISTO MANUTENZIONE LICENZE ORACLE PER LA PROVINCIA DI BOLZANO E ENTI COLLEGATI,ORACLE ITALIA S.R.L. A SOCIO UNICO,576767.26,EUR,2025-02-05 17:30:46.658T12:00:00Z,oracle
ocds-hu01ve-8557854,"MINISTERO DELL INTERNO-DIPARTIMENTO DEI VIGILI DEL FUOCO, SOCCORSO PUBBLICO E DIFESA CIVILE",80219290584,,RINNOVO LICENZE DATABASE SERVER ORACLE,KAY SYSTEMS ITALIA SRL,137000.0,EUR,2025-04-24 16:30:59.744T12:00:00Z,oracle
ocds-hu01ve-8605220,AUTOSTRADA PEDEMONTANA LOMBARDA SOCIETA PER AZIONI,08558150150,,ADESIONE A CONVENZIONE CONSIP 'LICENZE MULTIBRAND 4' LOTTO 6 PER IL SERVIZIO DI IMPLEMENTAZIONE ERP SAP ED ACQUISTO DELLE LICENZE NECESSARIE,ITALWARE SRL,995752.97,EUR,2025-03-19 17:30:06.352T12:00:00Z,sap
ocds-hu01ve-8607361,AZIENDA SANITARIA LOCALE N. 2 SAVONESE,01062990096,,ADESIONE ALLA CONVENZIONE 'MICROSOFT EA 6' LICENZE D'USO MICROSOFT ENTERPRISE AGREEMENT E DEI SERVIZI CONNESSI PER LE PUBBLICHE AMMINISTRAZIONI (SESTA EDIZIONE) - ID 2187 - STIPULATA DA CONSIP S.P.A. ,TELECOM ITALIA S.P.A.,784069.92,EUR,2025-03-04 17:30:19.234T12:00:00Z,microsoft
ocds-hu01ve-8615740,LIGURIA DIGITALE S.P.A.,02994540108,,PIATTAFORMA DI VIRTUALIZZAZIONE SAN IBM SPECTRUM,ITD SOLUTIONS S.P.A.,111300.0,EUR,2025-03-05 17:31:30.201T12:00:00Z,ibm
ocds-hu01ve-8616174,ACI INFORMATICA SOCIETA' PER AZIONI IN BREVE ACI INFORMATICA S.P.A.,00405030586,,ICT054AP22-AFFIDAMENTO DEI SERVIZI DI MANUTENZIONE E ASSISTENZA DI APPARECCHIATURE IBM,MAUDEN S.R.L.,572790.61,EUR,2025-02-03 17:31:23.938T12:00:00Z,ibm
ocds-hu01ve-8620311,INFORMATICA ALTO ADIGE SPA,01468500218,,ADESIONE CONVENZIONE SERVIZI ICT - LOTTO 2 - SERVIZIO DI MANUTENZIONE E SUPPORTO PER SAP SUCCESS FACTORS,DERGA CONSULTING SPA|NTT DATA ITALIA S.P.A.|GPI S.P.A.,179645.0,EUR,2025-04-15 16:30:16.281T12:00:00Z,sap
ocds-hu01ve-8639678,AZIENDA SANITARIA LOCALE DI MATERA,01178540777,,SPC CLOUD LOTTO 1 - SERVIZI DI CLOUD COMPUTING - GESTIONE SERVIZI SISTEMISTICI -,TELECOM ITALIA,60033.85,EUR,2025-04-04 16:30:38.963T12:00:00Z,cloud_generic
ocds-hu01ve-8452919,AZIENDA OSPEDALIERO UNIVERSITARIA A. MEYER,02175680483,,"RTI TIM SPA/LUTECH SPA - SERVIZI DI MANUTENZIONE, ASSISTENZA HW E SW DI BASE PER LE INFRASTRUTTURE DELLE AZIENDE SANITARIE DEL SERVIZIO SANITARIO - DET. 447/2020 - LOTTO 6 - RIFUNZIONALIZZAZIONE INFRA",,0.0,EUR,2025-01-24 17:32:24.931T12:00:00Z,tim
ocds-hu01ve-8466377,RETE FERROVIARIA ITALIANA - SOCIETA PER AZIONI,01585570581,,DOIT.VE.ING.OC.AQ 50/2021 - INTERVENTI DI ADEGUAMENTO DELLA SEDE E DELLA SAGOMA FUNZIONALI ALL’ELETTRIFICAZIONE IN PROSSIMITÀ ED ALL’INTERNO DELLA GALLERIA VILLAGA NEL TRATTO DI LINEA MONTEBELLUNA-FEL,,0.0,EUR,2025-02-07 17:30:42.282T12:00:00Z,oracle
ocds-hu01ve-8466526,AGENZIA DI TUTELA DELLA SALUTE DI PAVIA,02613260187,,LICENZE SW MULTIBRAND 4 CONV. CONSIP LOTTO 1 - LICENZE ORACLE E-BUSINESS SUITE,,0.0,EUR,2025-01-15 17:31:20.962T12:00:00Z,oracle
ocds-hu01ve-8477078,AZIENDA OSPEDALIERO UNIVERSITARIA A. MEYER,02175680483,,"RTI TELECOM ITALIA SPA/SIEMENS HEALTHCARE SRL - DET. 1286/2021 - MANUTENZIONE AD ON E FORNITURE IN EMERGENZA RIS PACS - INFRASTRUTTURA RIS PACS SERVER E STORAGE, SERVIZI CYBERSECURITY (SB)",TELECOM ITALIA SPA|SIEMENS HEALTHCARE SRL,937914.13,EUR,2025-03-28 17:30:38.091T12:00:00Z,tim
ocds-hu01ve-8477624,ACQUA NOVARA.VCO S.P.A.,02078000037,,ATTIVITÀ DI MIGRAZIONE WFM DA CLICK SOFTWARE A SALESFORCE.,,0.0,EUR,2025-01-08 17:30:08.196T12:00:00Z,salesforce
ocds-hu01ve-8481487,AZIENDA SANITARIA LOCALE CITTA' DI TORINO,11632570013,,PROGRAMMAZIONE DI SPESA PER I SERVIZI DI TELEFONIA MOBILE IN MODALITÀ PACCHETTO E RICARICABILE DELL'ASL CITTÀ DI TORINO PER L'ANNO 2022. PROROGA CONVENZIONE CONSIP TELEFONIA MOBILE 7 E CONVENZIONE CON,,0.0,EUR,2025-02-18 17:30:15.391T12:00:00Z,tim
ocds-hu01ve-8484196,AZIENDA TRASPORTI MILANESI S.P.A.,97230720159,,"PROGETTAZIONE, REALIZZAZIONE E MANUTENZIONE DEL SISTEMA 'SAP INTELLIGENT ASSET MANAGEMENT'",,0.0,EUR,2025-01-07 17:31:30.543T12:00:00Z,sap
ocds-hu01ve-8501497,INGEGNERIE TOSCANE S.R.L.,06111950488,,INCARICO PROFESSIONALE OMEGA ENGINEERING INGEGNERI ASSOCIATI,,0.0,EUR,2025-01-10 17:30:30.367T12:00:00Z,engineering
ocds-hu01ve-8502397,VENEZIANA ENERGIA RISORSE IDRICHE TERRITORIO AMBIENTE SERVIZI SPA,03341820276,,BS148-22/AP SERVIZIO DI DI CLOUD MICROSOFT AZURE,,0.0,EUR,2025-01-10 17:30:34.690T12:00:00Z,microsoft
