ocid,buyer_name,buyer_id,title,desc,supplier,value,currency,date,detected_provider
ocds-hu01ve-6935337,INSIEL SPA,00118410323,,SERVIZIO PRODUCT SUPPORT FOR LARGE ENTERPRISE SUI PRODOTTI SOFTWARE SAP E BUSINESS OBJECTS - RDA  86481- 2017,SAP ITALIA SISTEMI APPLICAZIONI PRODOTTI SPA,165700.99,EUR,2022-01-26T12:00:00Z,sap
ocds-hu01ve-6954420,UMBRIA DIGITALE S.C. A R.L.,03761180961,,RDO ALL'INTERNO DEL MEPA PER LA FORNITURA DEI SERVIZI DI SUPPORTO TECNICO PREMIER SUPPORT  ORACLE,ARSLOGICA SISTEMI S.R.L.,119879.23,EUR,2022-01-11T12:00:00Z,oracle
ocds-hu01ve-6961525,COTRAL S.P.A.,06043731006,,RINNOVO CONTRATTO DI SUPPORTO SAP,SAP ITALIA SPA,184533.0,EUR,2022-01-26T12:00:00Z,sap
ocds-hu01ve-6969353,COTRAL S.P.A.,06043731006,,PER L'AFFIDAMENTO DEL SERVIZIO IMPLEMENTAZIONE DEL MODULO SAP. ,PAABS SRL|KPMG ADVISORY,150600.0,EUR,2022-01-26T12:00:00Z,sap
ocds-hu01ve-6969907,CONINET SOCIETA PER AZIONI IN BREVE CONINET S.P.A.,08125671001,,ATTIVAZIONE ENTERPRISE AGREEMENT 4  TRIENNALE PRODOTTI MICROSOFT (RDA 5000137) ,FUJITSU TECHNOLOGY SOLUTIONS,44370.0,EUR,2022-01-12T12:00:00Z,microsoft
ocds-hu01ve-6980571,ROMA CAPITALE,02438750586,,"ADESIONE ALL'ACCORDO QUADRO 'CENTRALI TELEFONICHE 7' PER LA FORNITURA, MESSA IN OPERA E MANUTENZIONE DI CENTRALI TELEFONICHE EVOLUTE E DI PRODOTTI E SERVIZI CONNESSI  FASTWEB S.P.A.",BT ITALIA|FASTWEB SPA|VITROCISET S.P.A.|VODAFONE ITALIA S.P.A.|TELECOM ITALIA S.P.A.,3328937.74,EUR,2022-01-26T12:00:00Z,fastweb
ocds-hu01ve-7049637,REGIONE EMILIA ROMAGNA,80062590379,,SERVIZIO DI FORMAZIONE A DISTANZA CON MODALITÀ LEARNING AS A SERVICE IN CLOUD SULLE PIATTAFORME OFFICE 365 E SHAREPOINT 2016 DELLA REGIONE EMILIA ROMAGNA PER IL TRIENNIO 2018/202,4WARD SRL,210900.0,EUR,2022-02-10T12:00:00Z,microsoft
ocds-hu01ve-7063364,AGENZIA DELLE ENTRATE - RISCOSSIONE,13756881002,,ACQUISTO LICENZE SW E MANUT PER SYSTEM CENTER DI MICROSOFT NEW,TEOREMA ENGINEERING SRL,77850.0,EUR,2022-01-26T12:00:00Z,microsoft
ocds-hu01ve-7074861,LAZIO INNOVA - SOCIETA  PER AZIONI,05950941004,,"GARA A PROCEDURA APERTA PER L'AFFIDAMENTO DEI SERVIZI DI ASSISTENZA, MANUTENZIONE CORRETTIVA ED EVOLUTIVA DEL SOFTWARE GESTIONALE ERP MICROSOFT DYNAMICS NAV",AGIC TECHNOLOGY SRL ,181566.0,EUR,2022-01-26T12:00:00Z,microsoft
ocds-hu01ve-7089934,MIN LAV E PREV SOC DIREZ GEN AA GG E PERSONALE,80237250586,,"FORNITURA DI SERVIZI CLOUD, SERVIZI PROFESSIONALI, SERVIZI DI 'SUPPORTO TECNICO DEI DISPOSITIVI HARDWARE ORACLE PREMIER SUPPORT FOR SYSTEMS' E SERVIZI DI SUPPORTO ALL'INFRASTRUTTURA ORACLE HARDWARE E ",ORACLE ITALIA S.R.L.,685977.32,EUR,2022-01-26T12:00:00Z,oracle
ocds-hu01ve-7096333,COTRAL S.P.A.,06043731006,,CANONE RINNOVO LICENZE E SUPPORTO ORACLE.,ORACLE ITALIA SRL,157255.31,EUR,2022-01-26T12:00:00Z,oracle
ocds-hu01ve-7098748,AZIENDA OSPEDALIERA UNIVERSITARIA DI CATANIA,04721290874,,"RDO TRAMITE MEPA PER LA FORNITURA DI DISPOSITIVI DI SICUREZZA, MESSA IN MANUTENZIONE DEL DATA CENTER E SERVIZIO SOC A VALERE SUI PROGETTI PSN 2013 LINEA 16.4 E PSN 2015 LINEA 2.5. ",RICCA IT S.R.L. ,49533.33,EUR,2022-01-26T12:00:00Z,psn
ocds-hu01ve-7099764,ENI SPA,00484960588,,ACQUISTO E MANUTENZIONE LICENZE ORACLE,ORACLE ITALIA S.R.L.,30000000.0,EUR,2022-01-26T12:00:00Z,oracle
ocds-hu01ve-7102182,SPORT E SALUTE S.P.A.,07207761003,,INTEGRAZIONE EA4 TRUE UP AZURE - CONSIP PERIODO MAGGIO 2018 - FEBBRAIO 2020 (RDA 21391) ,FUJITSU TECHNOLOGY SOLUTIONS S.P.A.,183678.0,EUR,2022-01-10T12:00:00Z,microsoft
ocds-hu01ve-7129874,VENEZIANA ENERGIA RISORSE IDRICHE TERRITORIO AMBIENTE SERVIZI SPA,03341820276,,"BS267-18/AP SERVIZI OUTSOURCING, SYSTEM INTEGRATOR SAP E SERVIZI SUPPLEMENTARI SU PIATTAFORME DIVERSE DEL GRUPPO VERITAS",PHOENIX TECHNOLOGY SRL,5327630.0,EUR,2022-02-10T12:00:00Z,sap
ocds-hu01ve-7133148,COMUNE DI NAPOLI,80014890638,,"PROCEDURA NEGOZIATA AI SENSI DELL'ART. 192 DEL D.LGS. N. 267/2000 E DELL'ART. 36 COMMA 2 LETT. B) DEL D.LGS. N. 50/2016, MEDIANTE RDO SU MEPA, RIGUARDANTE LA 'FORNITURA E INSTALLAZIONE DI UN SISTEMA O",WESTPOLE SPA,155895.0,EUR,2022-01-26T12:00:00Z,oracle
ocds-hu01ve-7134627,RAI RADIOTELEVISIONE ITALIANA S.P.A.,06382641006,,SERVIZI DI MANUTENZIONE SOFTWARE ED HARDWARE ORACLE,DEDAGROUP SPA |TELECOM ITALIA,2304081.0,EUR,2022-01-26T12:00:00Z,oracle
ocds-hu01ve-7141082,RAI RADIOTELEVISIONE ITALIANA S.P.A.,06382641006,,FORNITURA LICENZE E SOTTOSCRIZIONI SAP,SIDI SPA,1566258.0,EUR,2022-01-26T12:00:00Z,sap
ocds-hu01ve-7142273,RETE FERROVIARIA ITALIANA - SOCIETA  PER AZIONI,01585570581,,"PROGETTAZIONE ESECUTIVA E LA REALIZZAZIONE DI UN NUOVO APPARATO CENTRALE COMPUTERIZZATO MULTISTAZIONE (ACCM) DELLA TRATTA PESCARA (E) - TERMOLI (E) DELLA LINEA BOLOGNA - BARI, COMPRENDENTI INTERVENTI ",SWS ENGINEERING SPA|ANSALDO STS|COMESVIL SPA|EREDI GIUSEPPE MERCURI S.P.A.,42643834.4,EUR,2022-01-26T12:00:00Z,oracle
ocds-hu01ve-7153615,MINISTERO INTERNO DIPARTIMENTO DELLA P.S.,80202230589,,PR.356.016.3-FORNITURA LICENZE IBM PER PROGETTO 1.1.1-ISF BORDERS-PER INFRASTRUTTURA PROGETTO I-VIS,ITALWARE SRL|TELECOM ITALIA SPA,59497.08,EUR,2022-01-26T12:00:00Z,ibm
ocds-hu01ve-7155745,AZIENDA SERVIZI IGIENE AMBIENTALE - NAPOLI S.P.A. IN FORMA ABBREV IATA A.S.I.A.-NAPOLI S.P.A.,07494740637,,"PNME003/2018-ASSISTENZA SISTEMISTICA SU PIATTAFORMA IBM POWER 8, SVILUPPO SIFTWARE E HELPDESK",INFOCHAIN DI FERNANDO D'ANIELLO,125790.0,EUR,2022-02-25T12:00:00Z,ibm
ocds-hu01ve-7156347,REGIONE TOSCANA,01386030488,,FORNITURA DI 3220 PROCESSOR VALUE UNIT (PVU) DI IBM DATA MANAGEMENT BUNDLE  ANNUAL SW SUBSCRIPTION & SUPPORT RENEWAL 12 MONTHS (E0NQGLL),,0.0,EUR,2022-01-27T12:00:00Z,ibm
ocds-hu01ve-7182038,AZIENDA SANITARIA LOCALE ROMA 6,04737811002,,"SERVIZIO OPERATIVO, ASSISTENZA E MANUTENZIONE APPLICATIVA SISTEMA ORACLE APPLICATIONS",SOPRA STERIA GROUP S.P.A.,125696.0,EUR,2022-01-26T12:00:00Z,oracle
ocds-hu01ve-7183324,AZIENDA OSPEDALIERA UNIVERSITARIA POLICLINICO PAOLO GIACCONE DI PALERMO,05841790826,,"PROCEDURA NEGOZIATA IN REGIME DI PRIVATIVA INDUSTRIALE, AI SENSI DEL D.LGS. 50/2016 E SS.MM.II., PER LA FORNITURA DI N.1 APPARECCHIATURA: DEPARRAY? NXT PLATFORM (PSN 2015 LINEA PROGETTUALE 6.2 'ONCOLO",SILICON BIOSYSTEMS SPA,144900.0,EUR,2022-01-26T12:00:00Z,psn
ocds-hu01ve-7186116,ACI INFORMATICA SOCIETA  PER AZIONI IN BREVE ACI INFORMATICA S.P.A.,00405030586,,CAMPAGA PROMO-INFORMATIVA READY2GO 2018 TRAMITE FUNZIONALITÀ DISPONIBILI SUL MOTORE DI RICERCA GOOGLE,GOOGLE IRELAND LTD,65000.0,EUR,2022-01-26T12:00:00Z,google
ocds-hu01ve-7283900,UMBRIA DIGITALE S.C. A R.L.,03761180961,,SERVIZI DI SUPPORTO ORACLE,ARSLOGICA SISTEMI S.R.L.,63000.0,EUR,2022-01-11T12:00:00Z,oracle
ocds-hu01ve-7316036,REGIONE TOSCANA,01386030488,,"FORNITURA DI (I) LICENZA D'USO DI SOFTWARE ON PREMISE, (II) SERVIZIO DI SUPPORTO E MANUTENZIONE PSLE, (III) SERVIZI CLOUD.",S.A.P. ITALIA SPA,2636898.8,EUR,2022-01-29T12:00:00Z,cloud_generic
ocds-hu01ve-7317542,AZIENDA SANITARIA LOCALE ROMA 6,04737811002,,"SERVIZIO OPERATIVO, ASSISTENZA E MANUTENZIONE APPLICATIVA SISTEMA ORACLE APPLICATIONS",SOPRA STERIA GROUP S.P.A.,62848.0,EUR,2022-01-26T12:00:00Z,oracle
ocds-hu01ve-7318635,COTRAL S.P.A.,06043731006,,CANONE RINNOVO LICENZE E SUPPORTO ORACLE ANNO 2019,ORACLE ITALIA SRL,211851.5,EUR,2022-01-26T12:00:00Z,oracle
ocds-hu01ve-7375288,AZIENDA SOCIO-SANITARIA TERRITORIALE NORD MILANO,09320420962,,"ADESIONE ALLA CONVENZIONE CONSIP  'TELEFONIA FISSA 5' PER LA FORNITURA DI  SERVIZI DI TELEFONIA FISSA IN FAVORE DELLE PUBBLICHE AMMINISTRAZIONI - ID 1601,  STIPULATA CON LA SOCIETÀ FASTWEB S.P.A.",VODAFONE ITALIA SPA|BT ITALIA S.P.A.|TISCALI ITALIA S.P.A.|FASTWEB|WIND TELECOMUNICAZIONI S.P.A.,208650.0,EUR,2022-03-08T12:00:00Z,fastweb
ocds-hu01ve-7397030,COMUNE DI MILANO,01199250158,,AFFIDAMENTO DEL SERVIZIO DI MANUTENZIONE ORACLE PREMIER SUPPORT FOR SYSTEMS COMPRENSIVO DI TUTTE LE COMPONENTI HARDWARE INSTALLATE SUI DUE SISTEMI EXADATA,ORACLE ITALIA SRL,144269.15,EUR,2022-02-10T12:00:00Z,oracle
ocds-hu01ve-7422306,BANCA D ITALIA,00997670583,,G001/19 - SOFTWARE IBM PASSPORT PER SISTEMI INTERMEDI E RELATIVA MANUTENZIONE,TELECOM ITALIA SPA|ITALWARE - S.R.L.,13277880.0,EUR,2022-03-15T12:00:00Z,ibm
ocds-hu01ve-7423742,ARPAT-AG. REG. PROT. AMBIENTALE TOSCANA,04686190481,,"ADESIONE ALLA CONVENZIONE STIPULATA DA CONSIP S.P.A. CON TELECOM ITALIA S.P.A. PER LA FORNITURA DI SERVIZI DI TELEFONIA MOBILE IN FAVORE DELLE PUBBLICHE AMMINISTRAZIONI, DENOMINATA TELEFONIA MOBILE 7 ",TELECOM ITALIA SPA,52423.17,EUR,2022-02-10T12:00:00Z,tim
