Id Scheda;Nome;Tipologia;Nome Fornitore;Livello di qualificazione/adeguamento;Data di qualificazione;Scadenza qualificazione
SA-6422;Infocad.FM;SaaS;Descor srl;1;2025-08-28;2028-08-28
SA-4440;AGE Suite;SaaS;AGE web solutions S.r.l.;1;2025-08-28;2028-08-28
SA-5211;Piattaforma web "Semplícita Istanze" su Aruba;SaaS;SERVIZI LOCALI S.p.A.;1;2025-08-26;2028-08-26
SA-4165;ProntoURP;SaaS;Digitalpa Srl;1;2025-09-02;2028-09-02
SA-6484;Hyperdok - SA-6484;SaaS;EDOK SRL;1;2025-08-04;2028-08-04
SA-507;HR NEXT (EX GEPE NEXT);SaaS;DATA MANAGEMENT S.R.L.;1;2025-05-19;2028-05-19
SA-4108;DSP Apotheke;SaaS;DATA SOLUTION PROVIDER SRL;1;2025-06-23;2028-06-23
SA-1722;S2 Suite;SaaS;IDS&Unitelm srl;1;2025-07-09;2028-07-09
SA-3896;Servicematica Organismo per la Composizione della Crisi da sovraindebitamento;SaaS;SM srl;1;2025-08-04;2028-08-04
SA-6117;GRC CORA - SA-6117;SaaS;Compet-e srl;1;2025-08-04;2028-08-04
SA-6701;Portale Giustizia Civile Penale Telematica;SaaS;SM srl;1;2025-08-04;2028-08-04
SA-3871;Servicematica Portale Giustizia;SaaS;SM srl;1;2025-08-04;2028-08-04
SA-5239;VotaLI;SaaS;Logica Informatica S.r.l.;1;2025-03-13;2028-03-13
SA-4902;Giotto Data;SaaS;Almaviva S.p.A.;2;2024-11-26;2027-11-25
PA-5407;IBM Cloud Code Engine;PaaS;IBM ITALIA SPA;1;2025-08-04;2028-08-04
SA-6485;EXETESIS SISTEMA CACCIA;SaaS;exetesis srl;1;2025-08-04;2028-08-04
SA-5417;Sophos Central;SaaS;Sophos Italia Srl;1;2025-08-04;2028-08-04
SA-4288;Argo Orienta;SaaS;Argo Software srl;1;2025-08-06;2028-08-06
SA-4297;Biblioteca WEB;SaaS;Argo Software srl;1;2025-08-06;2028-08-06
SA-6494;LEGALMAIL;SaaS;InfoCert S.p.A.;1;2025-08-06;2028-08-06
SA-4156;Registro Macellazione Informatizzato (RMI);SaaS;Invisiblefarm;1;2025-08-06;2028-08-06
SA-4196;SIGLA (Sistema Informativo per la Gestione dei Laboratori di Analisi);SaaS;Invisiblefarm;1;2025-08-06;2028-08-06
SA-6435;LOGIQUO;SaaS;PENTAQO SRL;1;2025-08-06;2028-08-06
SA-4129;ScrybaSign Cloud;SaaS;MEDAS SRL;2;2025-08-07;2028-08-07
SA-3931;PIATTAFORMA INDAGOR PER FRUIZIONE DATI EROGATI VIA PDND;SaaS;STESEI di Manzin Gianfranco e c.;1;2025-08-06;2028-08-06
SA-6534;Controllo Partecipate;SaaS;Pa33 s.r.l.;1;2025-08-11;2028-08-11
SA-3915;CMS;SaaS;laBconsulenze S.r.l.;1;2025-08-11;2028-08-11
SA-3918;Visure Hub;SaaS;laBconsulenze S.r.l.;1;2025-08-11;2028-08-11
SA-3939;Codice 2.0;SaaS;RINNOVAPA S.R.L.;1;2025-08-11;2028-08-11
SA-3941;Sarida Suite;SaaS;RINNOVAPA S.R.L.;1;2025-08-11;2028-08-11
SA-311;Citymat Entrate;SaaS;Maggioli Spa;1;2025-02-05;2028-02-04
SA-146;Consolidato Enti;SaaS;Maggioli Spa;1;2025-02-05;2028-02-04
SA-2416;Adozione testi scolastici;SaaS;Argo Software srl;1;2025-01-28;2028-01-27
SA-39;GecoDoc;SaaS;Argo Software srl;1;2025-01-28;2028-01-27
SA-219;Suite Area Personale;SaaS;Argo Software srl;1;2025-01-28;2028-01-27
SA-230;Suite Area Generale;SaaS;Argo Software srl;1;2025-01-28;2028-01-27
SA-189;J-City.gov su Maggioli;SaaS;Maggioli Spa;1;2025-02-05;2028-02-04
SA-1913;M-RAOSPID;SaaS;Maggioli Spa;1;2025-02-05;2028-02-04
SA-2177;ACTAGOV;SaaS;Actainfo s.r.l.;1;2025-02-07;2028-02-06
SA-3988;CITY REPORT;SaaS;Actainfo s.r.l.;1;2025-02-07;2028-02-06
SA-3991;PROCEDURE DISCIPLINARI;SaaS;Actainfo s.r.l.;1;2025-02-07;2028-02-06
SA-3987;ALBO PRETORIO;SaaS;Actainfo s.r.l.;1;2025-02-07;2028-02-06
IA-13;Nivola IaaS;IaaS;CSI Piemonte - Consorzio per il Sistema Informativo;2;2025-01-28;2028-01-27
SA-3405;IRISS;SaaS;DATA SOLUTION PROVIDER SRL;1;2025-01-28;2028-01-27
SA-3600;HR Infinity;SaaS;Zucchetti Spa;1;2025-01-28;2028-01-27
SA-667;INTR@PM PIATTAFORMA GESTIONALE PER FORZE DI POLIZIA;SaaS;VERBATEL SRL;1;2025-01-31;2028-01-30
SA-1502;BMC Helix ITSM;SaaS;BMC Software Distribution B.V.;1;2025-02-04;2028-02-03
SA-2678;BMC Helix Discovery;SaaS;BMC Software Distribution B.V.;1;2025-02-04;2028-02-03
SA-5395;CommercioCloud2;SaaS;MAGNOSYS SRL;1;2025-02-03;2028-02-02
SA-5447;K-TARIP su DINOVA;SaaS;Sikuel S.r.l.;1;2025-02-04;2028-02-03
SA-193;Icaro su Dinova;SaaS;Maggioli Spa;1;2025-02-05;2028-02-04
SA-768;E.Meal Hospital;SaaS;NOVA S.R.L.;2;2025-02-05;2028-02-04
SA-5369;Servizio Cloud Pomiager;SaaS;Pomiager srl;1;2025-02-05;2028-02-04
SA-3904;SIX Suite su Elogic Virtual Data Center;SaaS;ICCS INFORMATICA SRL;1;2025-02-06;2028-02-05
SA-5263;ZIMBRA & ZEXTRAS CLOUD - CSP PADUBIO TECNOLOGIA;SaaS;Studio Storti Srl;1;2025-01-07;2028-01-06
SA-1456;Svic PA Suite;SaaS;svic srl;1;2025-01-07;2028-01-06
SA-3568;TP OneWebPA Suite;SaaS;TP ONE SRL;1;2025-01-07;2028-01-06
SA-5268;Genesio;SaaS;Microdisegno Srl;1;2025-01-07;2028-01-06
SA-5420;eGlue Trusted Docs;SaaS;EGLUE SRL;1;2025-01-07;2028-01-06
SA-3447;Esproweb;SaaS;Geoconsult Informatica S.r.l.;1;2025-01-07;2028-01-06
SA-578;NUVOLAcomuniAR;SaaS;SISCOM SPA;1;2025-01-07;2028-01-06
SA-1220;UniMoney;SaaS;Unimatica S.p.A.;1;2025-01-07;2028-01-06
SA-1358;Unistorage;SaaS;Unimatica S.p.A.;1;2025-01-07;2028-01-06
SA-4735;Marketing Cloud;SaaS;SALESFORCE.COM Italy S.r.l.;2;2025-01-08;2028-01-07
SA-5315;ITHOSPITAL;SaaS;ITCLOUD SOFTWARE;1;2025-01-07;2028-01-06
SA-5266;InPratica.;SaaS;Microdisegno Srl;1;2025-01-07;2028-01-06
IA-2077;Virtual Data Center;IaaS;Acantho spa;1;2025-01-17;2028-01-16
SA-3650;YourBackup;SaaS;Babylon Cloud SPA;1;2025-01-20;2028-01-19
SA-3652;SecureShare;SaaS;Babylon Cloud SPA;1;2025-01-20;2028-01-19
SA-3665;Server Mail in Cloud;SaaS;FlameNetworks S.r.l.;1;2025-01-23;2028-01-22
SA-4050;AskMe Chat SaaS;SaaS;LASCAUX S.R.L.;2;2024-12-16;2027-12-15
SA-4783;PRANDIUM;SaaS;AXIOS INFORMATICA S.R.L.;2;2024-12-16;2027-12-15
SA-644;Suite Tributi PLUS;SaaS;Advanced Systems SpA;1;2025-01-03;2028-01-02
SA-481;Axios Segreteria Digitale;SaaS;Axios Italia Service Srl;1;2025-01-03;2028-01-02
SA-2750;Axios Comunicazioni;SaaS;Axios Italia Service Srl;1;2025-01-03;2028-01-02
SA-2736;Axios LTS WEB;SaaS;Axios Italia Service Srl;1;2025-01-03;2028-01-02
SA-2751;AXS PGS WEB;SaaS;Axios Italia Service Srl;1;2025-01-03;2028-01-02
SA-5157;SIGART;SaaS;C. & C. Srl (P.IVA 07057670726);2;2025-01-03;2028-01-02
PA-1212;BACKUP CLOUD;PaaS;BBBELL SPA;1;2024-12-18;2027-12-17
IA-5240;Disaster Recovery VPS/IAAS - IA-5240;IaaS;BBBELL SPA;1;2024-12-18;2027-12-17
SA-1227;Uniserv;SaaS;Unimatica S.p.A.;1;2024-12-19;2027-12-18
SA-5019;Clavis cloud;SaaS;Comperio srl;1;2024-12-18;2027-12-17
IA-5242;DRaaS - Disaster Recovery As AService - IA-5242;IaaS;BBBELL SPA;1;2024-12-18;2027-12-17
SA-488;X-STORAGE;SaaS;Boxxapps S.r.l.;1;2024-12-19;2027-12-18
SA-461;X-GDPR;SaaS;Boxxapps S.r.l.;1;2024-12-19;2027-12-18
SA-1471;X-Infrastruttura;SaaS;Boxxapps S.r.l.;1;2024-12-19;2027-12-18
SA-460;X-LOG;SaaS;Boxxapps S.r.l.;1;2024-12-19;2027-12-18
SA-520;Portale Documentale Arca;SaaS;ACCATRE s.r.l.;1;2025-01-03;2028-01-02
SA-3562;ReSys - gestione immobili;SaaS;Softime srl;1;2024-12-19;2027-12-18
SA-5183;ServiziPlusCloud;SaaS;Marruncheddu Pietro Francesco G.;1;2024-12-27;2027-12-26
SA-3372;Piattaforma Learning Management SaaS;SaaS;Abitat Sistemi Informativi Territoriali SRL;1;2025-01-03;2028-01-02
SA-5651;SAP Fieldglass;SaaS;SAP SE;1;2025-02-13;2028-02-12
PA-5361;Security, Identity and Compliance;PaaS;Oracle Corporation;2;2025-02-19;2028-02-18
PA-5378;Applications Services;PaaS;Oracle Corporation;2;2025-02-19;2028-02-18
IA-5616;Compute;IaaS;Oracle Corporation;2;2025-02-19;2028-02-18
SA-5454;Auxilium su Dinova;SaaS;Maggioli Spa;1;2025-02-05;2028-02-04
SA-1443;Concilium;SaaS;DROMEDIAN S.R.L.;1;2025-02-07;2028-02-06
SA-3483;NeMeA XMapp;SaaS;NEMEA SISTEMI SRL;1;2025-02-07;2028-02-06
SA-5495;Atlantide DS.8;SaaS;WOLTERS KLUWER ITALIA SRL;1;2025-02-07;2028-02-06
SA-5600;CWOL HR;SaaS;PALITALSOFT SRL;1;2025-02-11;2028-02-10
SA-5685;APPALTIPA VAR;SaaS;PALITALSOFT SRL;1;2025-02-11;2028-02-10
SA-5684;APPALTIPA LP;SaaS;PALITALSOFT SRL;1;2025-02-11;2028-02-10
PA-5382;Marketplace;PaaS;Oracle Corporation;2;2025-02-19;2028-02-18
SA-859;myNotice;SaaS;Halley Veneto Srl;1;2025-02-20;2028-02-19
SA-4752;Building in Cloud;SaaS;Namirial SpA;1;2025-02-20;2028-02-19
SA-5591;eSignAnyWhere;SaaS;Namirial SpA;2;2025-02-20;2028-02-19
SA-523;Hypergrid Secure Mail;SaaS;Hypergrid srl;1;2025-02-28;2028-02-27
IA-1331;Dedicated Server;IaaS;OVH srl;2;2025-03-04;2028-03-03
IA-1544;Public Cloud;IaaS;OVH srl;2;2025-03-04;2028-03-03
SA-5544;TickTool;SaaS;4C s.r.l;1;2025-03-05;2028-03-04
SA-1283;PA Legal;SaaS;Innova Iuris srl;1;2025-03-05;2028-03-04
SA-3906;SIX EVO su Google Compute Engine;SaaS;ICCS INFORMATICA SRL;1;2025-03-05;2028-03-04
SA-2163;GestioneMMG;SaaS;Invisiblefarm;1;2025-03-05;2028-03-04
SA-5009;Microsoft 365 / Office 365;SaaS;Microsoft Corporation;2;2025-01-20;2028-01-19
SA-865;GESTIONALE DELLA FORMAZIONE;SaaS;Invisiblefarm;1;2025-03-05;2028-03-04
SA-562;Giustizia Metropolitana;SaaS;Net Service SpA;1;2025-03-07;2028-03-06
IA-5846;Infrastruttura Datacenter;IaaS;Manutenzione ed Assistenza Computers Srl;1;2025-03-11;2028-03-11
SA-3588;Emedworks;SaaS;KG PARTNERS SRL;1;2025-03-17;2028-03-17
SA-3582;PatientJourney;SaaS;KG PARTNERS SRL;1;2025-03-17;2028-03-17
SA-5673;ASTRID;SaaS;KG PARTNERS SRL;1;2025-03-17;2028-03-17
SA-3589;GDPR WORK;SaaS;KG PARTNERS SRL;1;2025-03-17;2028-03-17
SA-5678;MEDICAL WASTE MANAGEMENT;SaaS;KG PARTNERS SRL;1;2025-03-17;2028-03-17
SA-3597;Politici in Cloud;SaaS;Microvision s.r.l.;1;2025-03-17;2028-03-17
SA-1301;PIEMME GRANDI UTENTI;SaaS;Sapidata S.p.a.;1;2025-03-17;2028-03-17
SA-5857;Proxmox Backup Server Cloud;SaaS;Atlante Informatica S.r.l.;1;2025-03-20;2028-03-20
SA-5644;CLOUD SERVER emz-Hanauer GmbH & Co. KGaA;SaaS;emz-Hanauer GmbH & Co. KGaA;1;2025-03-20;2028-03-20
SA-5162;CrowdStrike Falcon Next-Gen SIEM;SaaS;CROWDSTRIKE ITALY S.R.L.;1;2025-05-27;2028-05-27
SA-5164;CrowdStrike Falcon Exposure Management;SaaS;CROWDSTRIKE ITALY S.R.L.;1;2025-05-27;2028-05-27
SA-5163;CrowdStrike Falcon Cloud Security;SaaS;CROWDSTRIKE ITALY S.R.L.;1;2025-05-27;2028-05-27
PA-3196;Appian Cloud;PaaS;Appian Software Iternational LLC;1;2025-05-29;2028-05-29
SA-5702;Board Cloud SaaS;SaaS;Board International SA;1;2025-05-29;2028-05-29
SA-6119;CHIPSWEB;SaaS;TECNOSYS ITALIA SRL;1;2025-05-30;2028-05-30
SA-1224;DynDevice LMS;SaaS;Mega Italia Media S.p.A.;1;2025-05-30;2028-05-30
SA-6230;Gdpr33;SaaS;Pa33 s.r.l.;1;2025-05-30;2028-05-30
SA-6261;PRiMa - Privacy Rights Management;SaaS;Pa33 s.r.l.;1;2025-05-30;2028-05-30
SA-2312;Sibyl AI;SaaS;Progetti e Soluzioni SPA;1;2025-05-30;2028-05-30
SA-6003;Cerbeyra - Piattaforma di Cyber Threat Intelligence;SaaS;Cerbeyra S.p.A.;1;2025-05-29;2028-05-29
PA-170;WEMAIND;PaaS;CEGEKA SPA;2;2025-05-29;2028-05-29
SA-6100;Trust PEC;SaaS;Telecom Italia Trust Technologies S.r.l.;2;2025-05-30;2028-05-30
SA-574;Connect;SaaS;SIAV SPA;1;2025-05-30;2028-05-30
IA-6385;WESPACE - IA-6385;IaaS;CEGEKA SPA;2;2025-05-29;2028-05-29
SA-2026;TRUST LEGAL SPACE;SaaS;Telecom Italia Trust Technologies S.r.l.;2;2025-05-30;2028-05-30
IA-2060;IaaS CCTT;IaaS;Telecom Italia S.p.A.;2;2025-06-03;2028-06-03
SA-2423;SCT SMS;SaaS;Telecom Italia S.p.A.;1;2025-06-03;2028-06-03
SA-6156;Business Intelligence;SaaS;P.A. Advice SpA;1;2025-06-03;2028-06-03
SA-2562;SmartCall – Avvisi e bandi;SaaS;P.A. Advice SpA;1;2025-06-03;2028-06-03
SA-3901;MULESOFT;SaaS;SALESFORCE.COM Italy S.r.l.;2;2025-05-29;2028-05-29
SA-3900;SALEFORCE MARKETING PERSONALIZATION;SaaS;SALESFORCE.COM Italy S.r.l.;2;2025-05-29;2028-05-29
SA-1858;Rexpond;SaaS;E-time srl;1;2025-06-11;2028-06-11
SA-6186;Keyless;SaaS;Keyless Technologies srl;1;2025-06-11;2028-06-11
SA-1367;WMS (Wast Management System);SaaS;NEXTECHS SRL;1;2025-06-11;2028-06-11
SA-4035;Monitora PA;SaaS;Magaldi Innova S.R.L.;1;2025-06-11;2028-06-11
SA-259;DATA PROTECTION MANAGER (DPM) su AWS;SaaS;Studio Storti Srl;1;2025-06-11;2028-06-11
PA-5819;Siemens Mendix Cloud Platform;PaaS;SIEMENS INDUSTRY SOFTWARE SRL;2;2025-06-09;2028-06-09
IA-5119;IBM Power Virtual Server;IaaS;IBM ITALIA SPA;1;2025-06-16;2028-06-16
SA-5903;SAP Ariba;SaaS;SAP SE;1;2025-06-16;2028-06-16
SA-6398;SAP S/4HANA Cloud, Private Edition on Azure;SaaS;SAP SE;1;2025-06-16;2028-06-16
SA-6399;SAP S/4HANA Cloud, Private Edition on GCP;SaaS;SAP SE;1;2025-06-16;2028-06-16
SA-6089;SAP Signavio;SaaS;SAP SE;1;2025-06-16;2028-06-16
SA-5913;IBM Envizi ESG Suite;SaaS;IBM ITALIA SPA;1;2025-06-16;2028-06-16
SA-3993;Biomanagement;SaaS;SOL SpA;1;2025-06-16;2028-06-16
SA-6189;Resettami SIS;SaaS;CLE SRL;1;2025-06-09;2028-06-09
SA-6188;Resettami AMB;SaaS;CLE SRL;1;2025-06-09;2028-06-09
SA-6406;TUTTOGARE PA v.3;SaaS;Studio Amica Srl (ex STUDIO AMICA soc. coop.);1;2025-06-06;2028-06-06
PA-4033;Secure Public Cloud Google PaaS;PaaS;Polo Strategico Nazionale;2;2025-06-06;2028-06-06
SA-4034;Active Pager;SaaS;ActivePager s.r.l.s.;1;2025-06-09;2028-06-09
SA-4082;iAR Televisita;SaaS;Hippocrates Sintech srl;1;2025-06-03;2028-06-03
SA-6187;Resettami Cure Domiciliari;SaaS;CLE SRL;1;2025-06-09;2028-06-09
SA-6195;Resettami Parkinson;SaaS;CLE SRL;1;2025-06-09;2028-06-09
SA-5430;S&CC Solution;SaaS;Dedalus Italia spa;2;2025-06-09;2028-06-09
SA-5409;HIS Solution;SaaS;Dedalus Italia spa;2;2025-06-09;2028-06-09
SA-4456;PEGASO STAY TOURIST;SaaS;Software Studio Srl;1;2025-06-09;2028-06-09
SA-3698;Cyber Protect Cloud;SaaS;Acronis International GmbH;2;2025-06-11;2028-06-11
SA-773;TeamSystem Construction Project Management;SaaS;TeamSystem SpA;1;2025-04-08;2028-04-08
PA-3954;Access context Manager;PaaS;Google Cloud Italy S.r.l.;2;2025-06-17;2028-06-17
PA-3955;Apigee;PaaS;Google Cloud Italy S.r.l.;2;2025-06-17;2028-06-17
PA-3958;Cloud Firestore;PaaS;Google Cloud Italy S.r.l.;2;2025-06-17;2028-06-17
PA-4069;Vertex AI Search e Conversation - Vertex AI agent Builder;PaaS;Google Cloud Italy S.r.l.;2;2025-06-17;2028-06-17
SA-1974;Cyber Guru;SaaS;Cyber Guru S.p.A.;1;2025-06-17;2028-06-17
PA-6472;Servizio PaaS DCUR;PaaS;IN.VA S.p.A.;2;2025-06-17;2028-06-17
SA-3734;hyperSIC Cloud su Liguria Digitale;SaaS;APKAPPA SRL;1;2025-06-17;2028-06-17
SA-3060;InSosta;SaaS;INPUT SRL;1;2025-06-17;2028-06-17
SA-774;NovaPA;SaaS;888 Software Products s.r.l.;1;2025-06-20;2028-06-20
SA-462;Sebina;SaaS;DOT BEYOND SRL;1;2025-06-20;2028-06-20
SA-2859;Ges cloud;SaaS;Grafiche E. Gaspari SRL;1;2025-06-17;2028-06-17
PA-4005;Amazon Developers Tools Services;PaaS;AMAZON WEB SERVICES EMEA SARL;2;2025-06-23;2028-06-23
PA-4009;Amazon Internet of Things Services;PaaS;AMAZON WEB SERVICES EMEA SARL;2;2025-06-23;2028-06-23
PA-4004;Amazon End User Computing Services;PaaS;AMAZON WEB SERVICES EMEA SARL;2;2025-06-23;2028-06-23
PA-4002;Amazon Database Services;PaaS;AMAZON WEB SERVICES EMEA SARL;2;2025-06-23;2028-06-23
PA-3997;Amazon Cloud Financial Management Services;PaaS;AMAZON WEB SERVICES EMEA SARL;2;2025-06-23;2028-06-23
IA-4018;Amazon Networking & Content Delivery Services;IaaS;AMAZON WEB SERVICES EMEA SARL;2;2025-06-23;2028-06-23
PA-4014;Amazon Quantum Technologies Services;PaaS;AMAZON WEB SERVICES EMEA SARL;2;2025-06-23;2028-06-23
PA-4013;Amazon Robotic Services;PaaS;AMAZON WEB SERVICES EMEA SARL;2;2025-06-23;2028-06-23
PA-4012;Amazon Management & Governance Services;PaaS;AMAZON WEB SERVICES EMEA SARL;2;2025-06-23;2028-06-23
SA-223;Comuni-Chiamo;SaaS;Comuni-Chiamo srl;1;2025-05-19;2028-05-19
SA-5807;B-CoD: conservazione digitale;SaaS;Bucap S.p.A.;1;2025-05-20;2028-05-20
SA-5365;Oracle Supply Chain Management (SCM) cloud services – Add-ons;SaaS;Oracle Corporation;1;2025-05-16;2028-05-16
SA-2831;Cimitero Web;SaaS;Gruppo Marche Informatica Srl;1;2025-05-16;2028-05-16
SA-145;Suite Tributi PLUS su IN-15;SaaS;Advanced Systems SpA;1;2025-03-05;2028-03-04
SA-5803;Piattaforma Learning Management System Moodle;SaaS;MediaTouch 2000 Srl;1;2025-05-21;2028-05-21
SA-6250;DESIA su hosted private cloud;SaaS;IQUADRO;1;2025-05-21;2028-05-21
SA-3815;ECM4LEARN - Sistema di gestione, erogazione e monitoraggio della formazione continua in sanità;SaaS;NBS S.R.L.;1;2025-05-21;2028-05-21
SA-3814;SISTEMA DI ACCREDITAMENTO PROVIDER ECM,GESTIONE ED EROGAZIONE DELLA FORMAZIONECONTINUA IN SANITA';SaaS;NBS S.R.L.;1;2025-05-21;2028-05-21
SA-6024;Piattaforma Totara Suite;SaaS;MediaTouch 2000 Srl;1;2025-05-21;2028-05-21
SA-5915;IFT - Incentivi Funzioni Tecniche;SaaS;Evin srl;1;2025-05-21;2028-05-21
SA-3813;NETWORK SANITARIO - la rete dei professionisti sanitari;SaaS;NBS S.R.L.;2;2025-05-21;2028-05-21
SA-5659;Crux10;SaaS;STARCH srl;1;2025-05-21;2028-05-21
SA-4087;Qualys Cloud Platform;SaaS;Qualys Technologies SA;2;2025-05-21;2028-05-21
SA-453;ArchiWeb;SaaS;STARCH srl;1;2025-05-21;2028-05-21
SA-610;ConNet;SaaS;Incloud Team s.r.l.;1;2025-05-23;2028-05-23
SA-1391;GEO.works;SaaS;Berenice s.r.l.;2;2025-05-23;2028-05-23
SA-6210;SIMEL2 EVO su Azure;SaaS;Maggioli Spa;1;2025-05-23;2028-05-23
SA-1442;ICARE CLOUD su Liguria Digitale;SaaS;ATENA INFORMATICA SRL;1;2025-05-27;2028-05-27
SA-6333;Sepio;SaaS;We-Com s.r.l.;1;2025-09-12;2028-09-12
SA-3173;Servizio WePAL We-Com;SaaS;We-Com s.r.l.;1;2025-09-12;2028-09-12
SA-6689;Secure Cloud Management Platform;SaaS;Leonardo - Società per azioni;2;2025-10-09;2028-10-09
PA-6682;Data2Value;PaaS;Leonardo - Società per azioni;2;2025-10-09;2028-10-09
SA-6502;SIMEL2 EVO su Lepida;SaaS;Maggioli Spa;1;2025-10-10;2028-10-10
SA-6500;SIMEL2 EVO su Nivola;SaaS;Maggioli Spa;1;2025-10-10;2028-10-10
SA-4251;Service Notification Hub su GCP;SaaS;Maggioli Spa;1;2025-10-10;2028-10-10
SA-7006;Sicurezza Scuola;SaaS;Benacquista Assicurazioni s.r.l.;1;2025-10-10;2028-10-10
SA-6904;ServizioGPS - Sistema per tracciare e gestire attività, mezzi, asset e persone;SaaS;ENGIM SRL;1;2025-10-10;2028-10-10
SA-6357;Checkmarx One;SaaS;Checkmarx Ltd.;2;2025-10-10;2028-10-10
SA-6908;ECS EMAIL;SaaS;EUROPSYS SRL;1;2025-10-10;2028-10-10
SA-3439;ECS vNAS MEDIA VAULT;SaaS;EUROPSYS SRL;1;2025-10-10;2028-10-10
SA-5959;io-Comune - SA-5959;SaaS;RedTurtle Technology S.r.l.;1;2025-10-10;2028-10-10
IA-4142;Nebula I;IaaS;S.P.E. SISTEMI E PROGETTI ELETTRONICI S.A.S. DI PRANDINI PAOLO E C.;1;2025-10-10;2028-10-10
SA-4355;SPERA;SaaS;Project srl;1;2025-10-03;2028-10-03
SA-4356;URP - Digital;SaaS;Project srl;1;2025-10-03;2028-10-03
SA-4393;Okulus Scuola Sicura;SaaS;Momento Labs s.r.l.s.;1;2025-10-06;2028-10-06
SA-4482;NETTuno - Registro Elettronico Innovazione Scuola;SaaS;NETTuno Srl;1;2025-10-06;2028-10-06
SA-3833;Appalti&Contratti e-Procurement su Azure;SaaS;Maggioli Spa;1;2025-02-05;2028-02-04
SA-4271;Doctolib Pro;SaaS;Doctolib Srl;2;2025-08-26;2028-08-26
SA-6034;U-Admin;SaaS;PARK IT SRL;1;2025-10-03;2028-10-03
SA-7030;Work2Model su OVH;SaaS;Major Bit Consulting S.r.l.;1;2025-10-03;2028-10-03
SA-4358;SaaS Customer Satisfaction;SaaS;Project srl;1;2025-10-03;2028-10-03
SA-4362;SaaS GDPR;SaaS;Project srl;1;2025-10-03;2028-10-03
SA-4360;SaaS Atti e Delibere;SaaS;Project srl;1;2025-10-03;2028-10-03
SA-921;Istanze Online;SaaS;Gis&Web sas;1;2025-10-06;2028-10-06
SA-6887;GovDPO;SaaS;MARCO LA DIEGA SRL;1;2025-10-06;2028-10-06
SA-4446;GopenPT;SaaS;Promofarma Sviluppo srl;2;2025-08-11;2028-08-11
SA-5283;Blumatica BIM Platform;SaaS;Blumatica srl;1;2025-02-03;2028-02-02
SA-5398;Trellix Mobile Security;SaaS;TRELLIX ITALY S.R.L.;2;2025-01-07;2028-01-06
SA-6157;SiPubblica;SaaS;STRATECH S.R.L.;1;2025-09-12;2028-09-12
SA-3175;We-Com Whistleblowing;SaaS;We-Com s.r.l.;1;2025-09-12;2028-09-12
IA-6754;DS3 - European Cloud Vault;IaaS;Wiit SpA;2;2025-09-12;2028-09-12
SA-3984;Viola;SaaS;STRATECH S.R.L.;1;2025-09-12;2028-09-12
SA-6486;MeetMe - EventMatic;SaaS;INFORDATA SISTEMI S.r.l.;1;2025-09-08;2028-09-08
SA-6491;GOPLANNER INVENTORY;SaaS;INFORDATA SISTEMI S.r.l.;1;2025-09-08;2028-09-08
IA-3298;Seeweb Virtual Private Cloud (VPC);IaaS;Seeweb s.r.l.;2;2024-11-20;2027-11-19
SA-5339;Trellix Helix Connect (XDR);SaaS;TRELLIX ITALY S.R.L.;2;2025-01-07;2028-01-06
SA-4893;Giotto Planet;SaaS;Almaviva S.p.A.;2;2024-11-26;2027-11-25
IA-310;Foundation Server Pro (FS PRO);IaaS;Seeweb s.r.l.;2;2024-11-20;2027-11-19
SA-4466;Siav Connect (CPO);SaaS;SIAV SPA;1;2025-09-12;2028-09-12
SA-4467;Siav Silloge (CPO);SaaS;SIAV SPA;1;2025-09-12;2028-09-12
SA-2003;Philips Vue Cloud;SaaS;Philips S.p.A.;2;2025-10-28;2028-10-28
SA-6555;DBW – Gestionale web-nativo per la gestione amministrativa e operativa a supporto delle Utilities;SaaS;I&S Informatica e Servizi srl;1;2025-10-28;2028-10-28
SA-6898;DPO24;SaaS;GLOBAL COM TECHNOLOGIES SRL;1;2025-10-28;2028-10-28
SA-7041;Piattaforma Camelot;SaaS;Camelot srl SB;1;2025-10-30;2028-10-30
SA-5220;Transport Management;SaaS;Engineering Ingegneria Informatica S.p.a.;1;2025-10-30;2028-10-30
PA-6806;INIX Hsm (Thales Luna);PaaS;INIX GROUP ITALIA SRL;2;2025-09-12;2028-09-12
SA-3740;MoniDoc;SaaS;GROWTH SYSTEM PLATFORM SRL;1;2025-09-12;2028-09-12
SA-6812;INIX KMS (Thales);SaaS;INIX GROUP ITALIA SRL;2;2025-09-12;2028-09-12
SA-6783;INIX DeskSafe (Sangfor VDI);SaaS;INIX GROUP ITALIA SRL;2;2025-09-12;2028-09-12
SA-5219;IDEA Privacy;SaaS;IDEA PROGETTAZIONE E SVILUPPI INNOVATIVI S.R.L.;1;2025-09-30;2028-09-30
SA-6802;elixForms EU1;SaaS;Anthesi srl;1;2025-09-30;2028-09-30
SA-3370;Portale CST;SaaS;3PItalia SpA;1;2025-09-30;2028-09-30
SA-3369;SSO - SPID/CIE;SaaS;3PItalia SpA;1;2025-09-30;2028-09-30
SA-6437;TENA HOME CARE;SaaS;EPS Enterprise Process Solutions Srl;1;2025-09-30;2028-09-30
SA-6612;Mense Scolastiche;SaaS;Yes I Code;1;2025-10-01;2028-10-01
SA-4343;Talentia HCM AR;SaaS;TALENTIA SOFTWARE ITALIA;1;2025-09-30;2028-09-30
