Id Scheda;Nome;Tipologia;Nome Fornitore;Livello di qualificazione/adeguamento;Data di qualificazione;Scadenza qualificazione
IA-3678;IaaS Shared PSN;IaaS;Polo Strategico Nazionale;4;2025-04-30;2028-04-30
IA-3679;CaaS PSN;IaaS;Polo Strategico Nazionale;4;2025-04-30;2028-04-30
SA-5665;V-Suite;SaaS;VIGILATE SRL;1;2025-04-23;2028-04-23
SA-606;ASCOT GPI;SaaS;GPI SPA;1;2025-04-16;2028-04-16
SA-590;Easy Academy;SaaS;EasyStaff SRL;1;2025-04-11;2028-04-11
SA-3828;Plug&Com;SaaS;E-FIL SRL;1;2025-04-28;2028-04-28
SA-2554;eCS;SaaS;CO.EL.DA. Software;1;2025-03-28;2028-03-28
SA-1405;BabylonWeb;SaaS;Gruppo Informatica e Servizi GIES S.r.l.;1;2025-04-28;2028-04-28
SA-1870;usBIM;SaaS;ACCA software S.p.A.;1;2025-04-11;2028-04-11
SA-3886;usBIM.geotwin;SaaS;ACCA software S.p.A.;1;2025-04-11;2028-04-11
SA-1662;smartPA;SaaS;A Software Factory Srl;1;2025-04-02;2028-04-02
SA-5902;C'è Posto;SaaS;ICSONE srls;1;2025-05-05;2028-05-05
SA-1542;Banca Dati Bilanci e Valutazione Imprese - Leanus PA;SaaS;L'Imprenditore SRL;1;2025-05-05;2028-05-05
SA-3745;SEP - Sistema Enti Pubblici;SaaS;Parsec 3.26 S.r.l.;1;2025-05-05;2028-05-05
SA-1838;Suite Comune Facile;SaaS;Yamme Srl;1;2025-05-05;2028-05-05
SA-1652;Digital Democracy;SaaS;CEDAT 85 S.R.L.;1;2025-05-05;2028-05-05
IA-4339;ELMEC IAAS in private cloud;IaaS;Elmec Informatica Spa;2;2025-05-05;2028-05-05
PA-1021;Digital Enabler Engineering’s Ecosystem Platform;PaaS;Engineering D.HUB SPA;2;2025-05-05;2028-05-05
IA-136;CLOUDENG IaaS;IaaS;Engineering D.HUB SPA;2;2025-05-05;2028-05-05
SA-581;Nuvola Area personale;SaaS;Madisoft S.p.A.;1;2025-05-05;2028-05-05
SA-2717;Hosting Valore;SaaS;Ergonet srl;1;2025-05-05;2028-05-05
SA-363;Tri-Box;SaaS;Municipia SPA;1;2025-05-09;2028-05-09
SA-558;Argo;SaaS;Municipia SPA;1;2025-05-09;2028-05-09
SA-559;GEIS;SaaS;Municipia SPA;1;2025-05-09;2028-05-09
SA-6011;Egnition;SaaS;Municipia SPA;1;2025-05-09;2028-05-09
PA-3363;Dinova CloudDB Services;PaaS;Dinova srl;1;2025-03-27;2028-03-27
SA-5715;PRO-Q su Microsoft Azure;SaaS;venicecom srl;1;2025-03-27;2028-03-27
IA-356;Cloud VPN;IaaS;Google Cloud Italy S.r.l.;2;2025-03-25;2028-03-25
PA-3829;Access Transparency;PaaS;Google Cloud Italy S.r.l.;2;2025-03-25;2028-03-25
IA-3822;VPC Service Controls;IaaS;Google Cloud Italy S.r.l.;2;2025-03-25;2028-03-25
PA-3366;Dinova Content Collaboration;PaaS;Dinova srl;1;2025-03-27;2028-03-27
SA-5669;Openlearning;SaaS;DIGIT'ED SPA;1;2025-03-31;2028-03-31
SA-5721;MOODLE;SaaS;DIGIT'ED SPA;1;2025-03-31;2028-03-31
SA-1280;White Label App;SaaS;BRAV SRL con socio unico;1;2025-03-25;2028-03-25
SA-1277;Falco / Scat”;SaaS;BRAV SRL con socio unico;1;2025-03-25;2028-03-25
PA-298;DataFlow;PaaS;Google Cloud Italy S.r.l.;2;2025-03-25;2028-03-25
IA-295;Persistent Disk;IaaS;Google Cloud Italy S.r.l.;2;2025-03-25;2028-03-25
SA-689;Identity and Access Management;SaaS;Google Cloud Italy S.r.l.;2;2025-03-25;2028-03-25
IA-5335;Cloud Load Balancing;IaaS;Google Cloud Italy S.r.l.;2;2025-03-25;2028-03-25
PA-372;Cloud Spanner;PaaS;Google Cloud Italy S.r.l.;2;2025-03-25;2028-03-25
PA-3013;Network Connectivity Center;PaaS;Google Cloud Italy S.r.l.;2;2025-03-25;2028-03-25
PA-283;Google Kubernetes Engine;PaaS;Google Cloud Italy S.r.l.;2;2025-03-25;2028-03-25
SA-450;Piattaforma web "Ente Digitale";SaaS;SERVIZI LOCALI S.p.A.;1;2025-03-07;2028-03-07
SA-3706;PRONOTE;SaaS;Index Education Italia S.r.l. u.s.;1;2025-04-04;2028-04-04
SA-1630;Omnibus;SaaS;Progetti e Soluzioni SPA;1;2025-04-08;2028-04-08
SA-2084;PASharing;SaaS;Antica Bottega Digitale SRL;1;2025-04-02;2028-04-02
SA-5229;Net4market;SaaS;Net4market - CSAmed s.r.l.;1;2025-04-02;2028-04-02
SA-3030;LAF SCHOOL;SaaS;LAF School S.r.l.;1;2025-02-07;2028-02-07
SA-5760;CIW Gestione Tributi;SaaS;CIW;1;2025-04-02;2028-04-02
SA-5772;EL.MA.R. (Electronic Management Archives);SaaS;Stasis Sas;1;2025-04-02;2028-04-02
SA-6012;AFLink Smart PA - Aruba;SaaS;TeamSystem SpA;1;2025-04-08;2028-04-08
IA-2835;Infrastruttura IAAS in Cloud CSC;IaaS;Consiag Servizi Comuni srl;1;2025-04-09;2028-04-09
SA-5680;IceWarp cloud italiano;SaaS;Multiwire s.r.l.;1;2025-04-09;2028-04-09
SA-2814;SkyVote People;SaaS;MULTICAST S.R.L.;1;2025-04-10;2028-04-10
SA-2802;SkyVote Election;SaaS;MULTICAST S.R.L.;1;2025-04-10;2028-04-10
SA-440;classeViva;SaaS;Gruppo Spaggiari Parma S.p.A.;1;2025-04-10;2028-04-10
SA-444;Scuola e Territorio;SaaS;Gruppo Spaggiari Parma S.p.A.;1;2025-04-10;2028-04-10
SA-5778;ASC FastTest;SaaS;C&S Consulenza e Selezione S.r.l.;1;2025-04-11;2028-04-11
SA-1094;FORNITURA PIATTAFORMA CONCORSI;SaaS;GIADA PROGETTI srl;1;2025-04-11;2028-04-11
SA-5425;IBM Guardium Data Security Center;SaaS;IBM ITALIA SPA;1;2025-05-12;2028-05-12
SA-5426;IBM Apptio;SaaS;IBM ITALIA SPA;1;2025-05-12;2028-05-12
SA-5418;IBM Cloudability;SaaS;IBM ITALIA SPA;1;2025-05-12;2028-05-12
SA-5346;IBM Verify;SaaS;IBM ITALIA SPA;1;2025-05-12;2028-05-12
SA-5943;Registro Assistenti Familiari in Cloud;SaaS;Marruncheddu Pietro Francesco G.;1;2025-05-12;2028-05-12
SA-5894;Specializzazione Medica;SaaS;Nomos S.r.l.;1;2025-05-12;2028-05-12
SA-4265;AgrEGG;SaaS;Prodigys Technology;1;2025-05-12;2028-05-12
SA-4266;K-School;SaaS;Prodigys Technology;1;2025-05-12;2028-05-12
SA-3888;K-EDU;SaaS;Prodigys Technology;1;2025-05-12;2028-05-12
SA-5023;Nettuno-ACSOR;SaaS;Municipia SPA;1;2025-05-09;2028-05-09
SA-5818;Haldus;SaaS;EUSTEMA S.P.A.;1;2025-05-12;2028-05-12
SA-1977;dataBreast;SaaS;Eventi Telematici s.r.l.;1;2025-05-14;2028-05-14
SA-6177;Agenda Web - Prenotazione Appuntamenti Online;SaaS;Q-WEB srl;1;2025-05-14;2028-05-14
SA-6180;Prenota Sale: prenotazioni online e gestione spazi dell'Ente;SaaS;Q-WEB srl;1;2025-05-14;2028-05-14
IA-1120;Applico Virtual Data Center;IaaS;Applico Digital Lab S.r.l.;1;2025-05-16;2028-05-16
SA-5992;BMC Helix Continuous Optimization - OCI;SaaS;BMC Software Distribution B.V.;1;2025-05-16;2028-05-16
SA-5994;BMC Helix Operations Management with AIOPS - OCI;SaaS;BMC Software Distribution B.V.;1;2025-05-16;2028-05-16
SA-5995;BMC Helix ITSM - OCI;SaaS;BMC Software Distribution B.V.;1;2025-05-16;2028-05-16
SA-771;e4Cure;SaaS;EXPRIVIA S.P.A.;2;2025-05-16;2028-05-16
IA-5806;IAAS Solution by CDLAN;IaaS;CDLAN SPA SOCIETA' BENEFIT;1;2025-05-16;2028-05-16
SA-5997;FAR BOOKING;SaaS;FAR NETWORKS SRL;1;2025-05-16;2028-05-16
SA-4651;Se.Cim. - Gestione Servizi Cimiteriali;SaaS;Cedepp Srl;1;2024-10-23;2027-10-22
SA-3406;FarmaWeb;SaaS;Datamanagement Italia s.r.l.;1;2024-11-26;2027-11-25
SA-4954;GRAVE HUB;SaaS;D&D Partners S.r.l.;1;2024-11-26;2027-11-25
SA-4864;Cube mHost;SaaS;Micso Srl;1;2024-11-26;2027-11-25
SA-3689;Tecnorad Cartesio;SaaS;TECNORAD S.R.L.;1;2024-11-26;2027-11-25
SA-4857;PRIMO (basato su piattaforma Alma);SaaS;EX LIBRIS ITALY SRL;1;2024-10-23;2027-10-22
SA-3549;WB33 Vocal;SaaS;Pa33 s.r.l.;1;2024-10-29;2027-10-28
SA-3547;Incarichi33;SaaS;Pa33 s.r.l.;1;2024-10-29;2027-10-28
SA-3546;Manifestazioni33;SaaS;Pa33 s.r.l.;1;2024-10-29;2027-10-28
SA-4682;Kalì;SaaS;img internet;1;2024-10-29;2027-10-28
PA-918;X-CLOUD SERVICE;PaaS;Boxxapps S.r.l.;1;2024-11-12;2027-11-11
SA-4648;HYDROS;SaaS;Futura Sistemi srl;1;2024-11-13;2027-11-12
SA-554;Pay Tourist;SaaS;Kitesun srl;1;2024-11-12;2027-11-11
SA-3396;ByronWeb;SaaS;Codebase SRL;1;2024-11-26;2027-11-25
SA-3398;Immigreer;SaaS;Codebase SRL;1;2024-11-26;2027-11-25
SA-3399;Archiweb;SaaS;Codebase SRL;1;2024-11-26;2027-11-25
SA-6416;Armis Cyber Exposure Management Platform;SaaS;Armis INC;1;2025-07-29;2028-07-29
SA-3612;Sistema Contabile;SaaS;Golem Net Srl;1;2025-07-29;2028-07-29
SA-3625;Gestione Qualità Rifiuti;SaaS;Golem Net Srl;1;2025-07-29;2028-07-29
SA-3618;Sportello Unico attività produttive;SaaS;Golem Net Srl;1;2025-07-29;2028-07-29
SA-5764;Gestione del personale;SaaS;Golem Net Srl;1;2025-07-29;2028-07-29
SA-3615;PagoPa;SaaS;Golem Net Srl;1;2025-07-29;2028-07-29
SA-5949;Cortex Platform di Palo Alto Networks;SaaS;Palo Alto Networks Italia S.R.L.;2;2025-07-30;2028-07-30
SA-4820;LEO – Suite di monitoraggio flotta, progettazione servizio e percorsi;SaaS;I&S Informatica e Servizi srl;1;2025-08-13;2028-08-13
SA-4821;SOL – Sportello on line di comunicazione fra cittadino ed ente gestore del servizio raccolta rifiuti;SaaS;I&S Informatica e Servizi srl;1;2025-08-13;2028-08-13
SA-6075;Harmony Mobile;SaaS;Check Point Software Technologies Italia Srl;1;2025-08-18;2028-08-18
SA-5064;Threat Emulation / ThreatCloud di Check Point;SaaS;Check Point Software Technologies Italia Srl;1;2025-08-18;2028-08-18
IA-3876;ECS EUROPSYS - IAAS;IaaS;EUROPSYS SRL;1;2025-08-18;2028-08-18
PA-6777;Netsons Cloud Hosting;PaaS;Netsons srl;1;2025-08-18;2028-08-18
SA-1552;CODICE;SaaS;laBconsulenze S.r.l.;1;2025-08-11;2028-08-11
SA-6833;GS-360 su TIM Flex;SaaS;GeoSafety S.r.l.;1;2025-08-18;2028-08-18
SA-6793;ECODIGIT;SaaS;PRIME SRL;1;2025-08-18;2028-08-18
SA-6358;URBA Cloud;SaaS;BIDATA srl;1;2025-07-08;2028-07-08
SA-4309;Amministrazione Trasparente;SaaS;Codebase SRL;1;2025-07-08;2028-07-08
SA-4182;ATERWEB;SaaS;Ufficioweb srl;1;2025-07-08;2028-07-08
SA-4181;ARPAWEB;SaaS;Ufficioweb srl;1;2025-07-08;2028-07-08
SA-6666;TreeLliant - SOC as a Service - GOOGLE CE;SaaS;Webgenesys SpA;1;2025-07-09;2028-07-09
SA-6658;TreeLliant - SOC as a Service - PC OVH;SaaS;Webgenesys SpA;1;2025-07-09;2028-07-09
SA-6381;TwiceTouch - Sistema per la sicurezza del lavoratore che opera in solitario;SaaS;ENGIM SRL;1;2025-07-11;2028-07-11
IA-94;FASTcloud Business Storage;IaaS;Fastweb S.p.A.;2;2025-07-11;2028-07-11
IA-93;FASTcloud IaaS – OpenVirtualPrivateDataCenter;IaaS;Fastweb S.p.A.;2;2025-07-11;2028-07-11
SA-4433;Soluzione di posta elettronica in Cloud e collaboration;SaaS;ilger.com S.r.l.;1;2025-07-11;2028-07-11
SA-6172;FacilePA: Sito web istituzionale e App del Comune conforme AgID e Designers Italia;SaaS;Q-WEB srl;1;2025-06-20;2028-06-20
PA-4015;Amazon Satellite Services;PaaS;AMAZON WEB SERVICES EMEA SARL;2;2025-06-23;2028-06-23
SA-5745;TABLEAU;SaaS;SALESFORCE.COM Italy S.r.l.;2;2025-05-29;2028-05-29
SA-583;WelfareGov;SaaS;Clesius S.r.l.;1;2025-04-18;2028-04-18
IA-3209;Shared Hosting GENIUS;IaaS;Host S.p.A.;1;2025-06-23;2028-06-23
SA-6213;Nivi X Cloud Portal;SaaS;Nivi S.p.A.;1;2025-06-17;2028-06-17
IA-3210;Shared Hosting SMART;IaaS;Host S.p.A.;1;2025-06-23;2028-06-23
IA-2590;Cloud Backup Services;IaaS;Nextegy srl;2;2025-06-23;2028-06-23
SA-579;Nuvola area alunni e registro elettronico;SaaS;Madisoft S.p.A.;1;2025-05-05;2028-05-05
SA-2086;Selezioni Digitali;SaaS;Merito Srl;2;2025-06-23;2028-06-23
SA-5921;Piattaforma e Servizio di Governance Risk e Compliance Zeus;SaaS;Teleconsys S.p.A.;1;2025-06-23;2028-06-23
PA-6308;Arionline-DB;PaaS;Arionline srl;1;2025-06-25;2028-06-25
PA-6320;Arionline-RP;PaaS;Arionline srl;1;2025-06-25;2028-06-25
PA-6319;Arionline-APP;PaaS;Arionline srl;1;2025-06-25;2028-06-25
SA-5614;Cynet Security;SaaS;Cynet Security UK Ltd.;2;2025-06-11;2028-06-11
SA-4109;OVCR Cloud;SaaS;K2K S.r.l. a SB;1;2025-06-25;2028-06-25
SA-4978;URP@nLine;SaaS;Webgenesys SpA;1;2025-06-26;2028-06-26
