codice_ipa,codice_comune_istat,name
cq,052022,Consorzio Strada Vicinale della Querciola
csa_alr,004003,Consorzio Socio Assistenziale Alba Langhe Roero
csc_004,004078,Consorzio Socio-assistenziale del Cuneese
csmo,052022,Consorzio Strada Vicinale Montemorli - Montecuccheri
cso,052022,Consorzio Strada Vicinale di Orneto
csp,052022,Consorzio Strada Vicinale Delle Pietre
cspi,052022,Consorzio Strada Vicinale Piandicampi - Rocchetta
cspp,052022,Consorzio Strada Vicinale San Pietro a Padule
csrad,064008,Consorzio Smaltimento Rifiuti Av2
csrav1,064008,Consorzio Smaltimento Rifiuti Avellino 1
csrsu,062008,Consorzio Smaltimento Rifiuti Solidi Urbani Bn1
cssag_53,053011,"COESO Societa' della Salute delle Zone Amiata Grossetana, Colline Metallifere e Area Grossetana"
csso,052022,Consorzio Strada Vicinale di Sornano
CSSV,103072,Consorzio dei Servizi Sociali del Verbano
cstdn,022062,Consorzio per I Servizi Territoriali del Noce
csvadip,065114,Consorzio Sociale Vallo di Diano Tanagro Alburni
csvdea,065013,Consorzio Sociale Valle dell'Irno - Ambito S6
csvgd,052022,Consorzio Strada Vicinale Gavignano Cedda
ctclg,101010,Consorzio Tra Comuni per La Gestione del Servizio Idrico Integrato nel Crotonese
ctpr,073011,Consorzio Tutela e Prevenzione Randagismo San Francesco
ctrle,081006,Consorzio Trapanese Legalita
CTS9WR8P,058013,Consorzio quattropuntotre
cvcr,078102,Consorzio Valle Crati
cvse,010055,Consorzio Villa Serra
cvval,002057,Consorzio Valmastallone Valsesia
dsc,019036,Azienda Speciale Consortile del Distretto Sociale Cremonese
ecrf,083097,Consorzio Rete Fognante
F3HHFYK8,062023,CONSORZIO AMBITO B4
F7DFHC25,069057,"Consorzio ""Il Cammino della Pace"""
I14ZYO7O,053028,CONSORZIO STRADALE RIUNITO DEL COMUNE DI SEMPRONIANO
I9EGFGS2,063032,AZIENDA SPECIALE CONSORTILE AMBITO N17
icds,058110,Consorzio I Castelli della Sapienza
ieplpm,024085,Istituto Europeo per Le Politiche della Montagna
iscmfav,002158,Istituzione Scuola Comunale di Musica F.A.Vallotti
JWUQLH5U,017075,CONSORZIO FORESTALE ALTA VALLE TROMPIA
KGO0UU5C,058039,CONSORZIO DEL TUSCOLO
LOG8RSTT,056039,Consorzio T.I.N.E.R.I. - TUTTI INSIEME NESSUNO RESTI INDIETRO
mcad,025039,Magnifica Comunita' di Cadore
MT811TON,074001,Consorzio per la realizzazione del sistema integrato di Welfare dell'Ambito territoriale sociale BR1
pane,108017,Consorzio Parco Agricolo Nord Est
pometeo,075034,Prometeo Srl
puid,061082,Parco Urbano Intercomunale Dea Diana
RS3SWWDZ,109015,ASSOCIAZIONE SIBILLINI MOUNTAIN EXPERIENCE
S0IR9UU4,064008,Azienda Speciale Consortile A04
sbl,079160,Associazione Sistema Bibliotecario Territoriale Lametino
sbtj,080012,Sistema Bibliotecario Territoriale Jonico
sbts,078119,Sistema Bibliotecario Territoriale Silano
sbv,102047,Sistema Bibliotecario Vibonese
SCSWXASS,065137,Azienda Speciale Consortile Comunità Sensibile
uapss,082053,Unione degli Assessorati alle Politiche Socio Sanitare dell'Istruzione e del Lavoro
ucmap,047024,Unione di Comuni Montani Appennino Pistoiese
udcmvm,094030,Unione Dei Comuni Montani Volturno Matesina
VUB7PSTJ,017081,AZIENDA SPECIALE CONSORTILE OVEST SOLIDALE
WV904BG3,028100,AZIENDA SPECIALE CONSORTILE ALTA PADOVANA
XO5GKXJH,061048,AZIENDA SPECIALE CONSORZIO TIFATA
